time,mean_centered,standardized
129.736,28.16432482,1.021422956
131.329,14.16432482,0.513691225
131.455,9.564324818,0.346865085
131.728,-1.935675182,-0.070200265
132.492,-7.335675182,-0.266039647
133.069,-6.935675182,-0.251533026
133.105,-10.53567518,-0.382092614
133.427,-20.23567518,-0.73387817
134.123,-21.93567518,-0.795531309
134.287,-27.13567518,-0.98411738
134.96,-26.33567518,-0.955104138
135.114,-30.43567518,-1.103797002
135.207,-32.83567518,-1.190836728
135.603,-32.83567518,-1.190836728
135.883,-29.13567518,-1.056650484
136.011,-30.13567518,-1.092917037
136.251,-28.43567518,-1.031263898
136.567,-35.03567518,-1.270623142
136.655,-29.73567518,-1.078410416
137.293,-36.53567518,-1.325022971
137.633,-37.43567518,-1.357662868
137.982,-36.63567518,-1.328649626
138.185,-40.63567518,-1.473715835
139.275,-38.53567518,-1.397556075
139.617,-34.33567518,-1.245236556
140.899,-35.23567518,-1.277876453
140.96,-34.43567518,-1.248863211
142.058,-40.43567518,-1.466462524
145.363,-33.93567518,-1.230729935
148.831,-27.83567518,-1.009503967
149.803,-38.93567518,-1.412062696
149.921,-41.93567518,-1.520862352
151.423,-30.23567518,-1.096543692
154.48,-41.83567518,-1.517235697
155.395,-45.33567518,-1.64416863
155.813,-43.33567518,-1.571635525
159.562,-26.53567518,-0.962357449
159.943,-34.33567518,-1.245236556
161.679,-39.23567518,-1.422942661
162.228,-40.73567518,-1.47734249
163.024,-44.13567518,-1.600648767
163.698,-47.03567518,-1.705821769
164.439,-34.23567518,-1.241609901
167.183,-33.03567518,-1.198090038
169.492,-33.13567518,-1.201716693
171.351,-34.83567518,-1.263369832
172.434,-40.53567518,-1.470089179
173.135,-41.43567518,-1.502729076
173.394,-40.73567518,-1.47734249
175.306,-23.13567518,-0.839051171
177.139,-17.63567518,-0.639585134
178.179,-13.13567518,-0.476385649
179.117,-32.73567518,-1.187210072
180.068,-31.13567518,-1.129183589
182.046,-27.43567518,-0.994997346
184.685,-20.13567518,-0.730251515
186.697,0.464324818,0.01683946
188.436,0.564324818,0.020466115
189.076,-10.53567518,-0.382092614
190.352,-12.83567518,-0.465505684
192.91,-4.335675182,-0.15723999
193.481,-10.83567518,-0.392972579
195.017,-4.435675182,-0.160866645
195.673,10.36432482,0.375878327
196.179,11.76432482,0.4266515
198.972,20.06432482,0.727663883
199.918,8.264324818,0.299718567
201.163,16.76432482,0.607984261
202.413,13.56432482,0.491931294
202.874,1.064324818,0.038599392
203.317,1.364324818,0.049479357
203.837,-2.235675182,-0.081080231
204.48,-4.535675182,-0.164493301
204.908,-1.435675182,-0.052066989
205.362,0.564324818,0.020466115
